Material ID,Material Name,Category,Durability Rating,Cost per Unit ($),Environmental Suitability,Supplier Availability,Lead Time (days),Sustainability Score,Thermal Conductivity (W/m·K),Compressive Strength (MPa),Fire Resistance Rating
1,Plastic,Insulation,8,768,Coastal,High,12,7,1.47,269,C
2,Brick,Plumbing,10,417,Dry,Low,9,4,1.98,326,A
3,Aluminum,Finishing,10,132,Coastal,High,22,8,0.54,61,D
4,Wood,Structural,7,518,Humid,High,29,8,0.92,227,A
5,Concrete,Insulation,9,834,Humid,Medium,18,3,0.12,324,B
6,Stone,Finishing,8,847,All,High,14,9,0.74,247,D
7,Aluminum,Electrical,8,765,Dry,High,23,5,1.73,109,A
8,Brick,Structural,6,863,Coastal,Low,22,5,1.6,52,D
9,Stone,Electrical,10,289,Dry,Low,13,6,2.06,292,B
10,Plastic,Plumbing,10,629,All,Medium,29,10,2.05,295,D
11,Insulation,Insulation,6,533,All,High,23,9,1.55,333,B
12,Glass,Plumbing,8,139,Dry,High,5,5,1.86,141,B
13,Wood,Structural,7,629,Dry,High,19,2,1.05,42,A
14,Steel,Plumbing,10,117,Dry,Low,12,1,1.67,36,D
15,Insulation,Finishing,7,51,Humid,High,20,6,2.45,214,D
16,Stone,Insulation,6,734,Coastal,Medium,24,5,0.55,43,B
17,Concrete,Finishing,9,368,All,Medium,15,1,0.22,294,A
18,Wood,Insulation,7,581,Coastal,Medium,30,1,1.7,149,C
19,Wood,Insulation,6,255,Dry,High,27,5,0.42,49,C
20,Brick,Finishing,7,660,Coastal,Low,23,1,1.37,190,D
21,Brick,Electrical,8,613,Coastal,Medium,30,4,1.78,218,A
22,Aluminum,Finishing,8,243,Humid,High,20,8,1.57,356,A
23,Brick,Electrical,10,697,Humid,Low,24,2,1.35,234,B
24,Insulation,Insulation,10,215,Humid,Medium,8,2,1.89,295,A
25,Steel,Insulation,7,236,Humid,Medium,8,3,2.25,158,A
26,Concrete,Finishing,8,762,All,High,16,2,0.54,168,C
27,Wood,Electrical,9,150,Coastal,Low,16,2,1.87,356,A
28,Glass,Structural,7,581,All,High,19,2,1.67,162,B
29,Aluminum,Insulation,8,403,Humid,High,26,10,0.42,358,B
30,Insulation,Electrical,6,805,All,Medium,7,6,2.46,65,D
31,Steel,Finishing,7,805,All,High,19,6,1.97,399,B
32,Aluminum,Plumbing,8,884,Dry,Medium,16,7,0.13,90,A
33,Concrete,Electrical,6,350,Coastal,Medium,30,3,1.77,233,B
34,Glass,Electrical,6,914,Coastal,Low,15,6,0.82,77,D
35,Glass,Finishing,8,842,Dry,Low,26,1,0.46,312,B
36,Concrete,Electrical,6,450,Dry,High,16,1,1.18,276,C
37,Brick,Finishing,8,365,Dry,High,12,9,2.16,372,B
38,Plastic,Structural,8,382,Humid,Medium,16,7,1.16,122,B
39,Aluminum,Finishing,8,142,Coastal,Low,10,10,2.34,222,A
40,Wood,Plumbing,7,748,All,Medium,17,4,1.66,244,D
41,Stone,Finishing,10,673,Coastal,Medium,5,9,0.74,264,A
42,Aluminum,Electrical,10,529,Humid,Medium,6,9,2.45,391,A
43,Plastic,Finishing,7,456,Humid,Medium,13,7,0.57,117,B
44,Wood,Plumbing,7,707,Dry,Medium,14,8,2.43,82,A
45,Plastic,Electrical,8,954,Coastal,Low,30,7,1.07,360,D
46,Insulation,Insulation,7,93,Humid,Low,9,9,2.17,218,B
47,Concrete,Finishing,6,481,Humid,Low,28,3,0.61,385,B
48,Steel,Finishing,7,848,Coastal,High,28,2,2.05,192,A
49,Insulation,Plumbing,7,897,Humid,Low,29,7,2.18,173,A
50,Concrete,Insulation,9,238,All,Low,21,9,0.31,231,D
51,Insulation,Structural,10,472,Dry,Medium,30,8,1.83,15,A
52,Aluminum,Finishing,8,292,Dry,Medium,28,9,1.05,247,B
53,Wood,Electrical,7,678,Coastal,High,15,7,0.34,139,A
54,Insulation,Finishing,8,884,Humid,Low,10,3,1.3,81,C
55,Plastic,Electrical,9,737,Dry,Low,18,2,0.65,231,C
56,Glass,Structural,10,994,Dry,High,10,7,1.8,163,A
57,Steel,Insulation,7,939,Coastal,High,17,7,2.05,208,C
58,Concrete,Insulation,6,233,All,Medium,8,3,1.17,71,D
59,Concrete,Finishing,7,117,All,High,16,9,1.78,97,D
60,Glass,Structural,7,706,All,Medium,27,7,0.19,150,D
61,Aluminum,Insulation,6,958,Dry,Medium,14,5,0.82,243,A
62,Plastic,Electrical,8,125,Humid,Medium,5,8,1.44,275,A
63,Aluminum,Plumbing,9,963,Coastal,High,7,10,1.71,281,C
64,Aluminum,Finishing,9,605,Dry,Medium,21,7,1.53,333,B
65,Glass,Insulation,9,129,Humid,Medium,7,2,0.91,358,D
66,Wood,Structural,7,590,Coastal,High,9,3,1.06,191,B
67,Plastic,Insulation,8,351,Coastal,Low,16,7,1.05,320,A
68,Brick,Plumbing,7,915,Dry,Medium,24,1,2.02,117,B
69,Glass,Electrical,8,944,Coastal,Low,18,4,0.46,227,C
70,Glass,Electrical,6,127,Humid,High,18,7,0.75,243,B
71,Concrete,Insulation,7,863,Coastal,Medium,5,1,0.62,282,D
72,Brick,Plumbing,9,573,Coastal,Low,9,10,2.32,157,B
73,Brick,Plumbing,7,599,Humid,Medium,7,1,0.28,222,B
74,Plastic,Electrical,9,583,Dry,Low,24,10,1.77,293,B
75,Stone,Electrical,7,898,Dry,Low,23,10,1.1,373,D
76,Insulation,Electrical,9,464,Humid,High,19,6,1.28,145,A
77,Glass,Plumbing,8,963,All,High,24,6,0.63,257,B
78,Concrete,Electrical,6,625,Dry,High,24,1,2.4,134,B
79,Aluminum,Structural,8,240,Humid,Low,10,1,0.92,190,C
80,Wood,Plumbing,7,872,Humid,Low,26,2,2.43,109,A
81,Brick,Finishing,9,603,All,High,10,6,2.46,146,A
82,Steel,Structural,10,90,Coastal,Low,17,6,1.71,171,D
83,Brick,Finishing,10,270,All,Low,21,7,1.35,88,D
84,Concrete,Electrical,7,257,All,Low,16,1,0.27,338,C
85,Glass,Insulation,9,464,All,Medium,30,8,0.65,336,A
86,Steel,Structural,10,427,Coastal,High,22,5,0.11,156,B
87,Plastic,Structural,8,145,All,Medium,7,2,0.28,345,C
88,Brick,Finishing,10,525,Dry,High,8,6,1.56,261,C
89,Aluminum,Structural,6,464,All,Low,24,2,2.08,272,B
90,Wood,Electrical,10,281,Coastal,Low,23,1,0.29,69,D
91,Glass,Finishing,9,904,Coastal,High,6,9,2.19,349,B
92,Stone,Structural,10,871,Dry,High,11,10,1.58,333,A
93,Wood,Insulation,8,227,Humid,High,6,6,0.46,305,C
94,Insulation,Insulation,8,198,Humid,Medium,8,6,2.37,368,B
95,Stone,Plumbing,7,417,Dry,Medium,18,9,1.38,160,B
96,Aluminum,Finishing,7,530,All,High,16,10,1.14,84,D
97,Aluminum,Plumbing,6,161,All,Low,27,5,2.26,77,D
98,Aluminum,Finishing,9,851,Humid,Low,13,1,1.02,386,C
99,Plastic,Plumbing,7,543,Humid,Medium,9,9,0.55,379,C
100,Steel,Electrical,8,759,All,Medium,18,7,0.55,73,D
101,Steel,Plumbing,8,863,Dry,High,27,7,0.7,109,D
102,Glass,Electrical,10,678,Coastal,High,30,6,2.21,313,B
103,Aluminum,Electrical,9,181,Dry,Medium,23,10,0.59,265,D
104,Wood,Finishing,10,870,All,Low,21,3,1.91,24,D
105,Stone,Structural,7,640,Dry,Low,23,6,0.23,143,B
106,Concrete,Plumbing,9,467,Coastal,Medium,11,1,2.24,94,A
107,Insulation,Electrical,7,767,Dry,High,15,7,0.36,203,C
108,Plastic,Structural,8,199,Coastal,High,9,5,1.19,181,A
109,Glass,Insulation,8,506,Humid,Medium,22,3,2.23,209,A
110,Glass,Plumbing,9,451,All,High,21,2,0.24,158,C
111,Plastic,Plumbing,8,567,All,High,20,7,1.99,88,D
112,Concrete,Structural,9,818,Coastal,High,11,3,1.79,141,C
113,Concrete,Insulation,7,175,All,High,20,6,1.76,271,D
114,Brick,Finishing,9,61,All,High,10,4,1.04,46,A
115,Aluminum,Structural,8,838,Coastal,High,15,7,0.11,100,B
116,Steel,Insulation,7,428,Dry,High,11,3,0.57,311,C
117,Stone,Electrical,10,783,Humid,High,21,7,1.05,67,B
118,Wood,Electrical,9,250,All,Low,25,9,1.85,241,C
119,Concrete,Plumbing,8,256,Coastal,Low,8,5,1.04,291,B
120,Brick,Structural,10,783,All,High,20,2,0.83,140,A
121,Aluminum,Insulation,6,230,All,High,26,2,1.1,272,C
122,Aluminum,Finishing,7,815,Dry,Low,9,10,1.78,115,C
123,Aluminum,Plumbing,10,336,All,High,24,5,1.6,289,D
124,Steel,Plumbing,8,179,Dry,Low,5,7,1.59,392,B
125,Brick,Insulation,8,215,Coastal,Low,15,2,1.67,230,A
126,Plastic,Plumbing,8,971,All,Low,11,8,1.51,247,D
127,Concrete,Insulation,8,893,Coastal,Low,12,2,0.75,72,A
128,Insulation,Finishing,8,692,Dry,High,8,4,0.19,165,B
129,Wood,Finishing,7,633,All,Medium,7,10,1.52,163,A
130,Steel,Plumbing,7,453,Humid,Medium,28,5,2.03,135,A
131,Steel,Finishing,8,373,All,Medium,11,3,1.06,241,A
132,Wood,Plumbing,10,153,All,High,21,5,2.28,318,A
133,Wood,Finishing,10,573,Dry,High,16,8,0.44,21,C
134,Brick,Plumbing,9,702,Dry,Low,16,4,0.35,384,D
135,Stone,Electrical,10,240,Humid,Low,21,6,2.14,315,B
136,Concrete,Structural,9,865,Dry,Low,14,7,2.38,80,A
137,Aluminum,Electrical,9,175,All,Medium,23,7,1.85,153,B
